ListTitle,FieldTitle,FieldInternalName
Access Requests,Content Type ID,ContentTypeId
Access Requests,Title,Title
Access Requests,Approver Comments,_ModerationComments
Access Requests,File Type,File_x0020_Type
Access Requests,Compliance Asset Id,ComplianceAssetId
Access Requests,Request Id,RequestId
Access Requests,Requested Web Url,RequestedObjectUrl
Access Requests,Web Title,RequestedObjectTitle
Access Requests,Inheriting Web Id,InheritingRequestedWebId
Access Requests,Web Id,RequestedWebId
Access Requests,List Id,RequestedListId
Access Requests,Item Id,RequestedListItemId
Access Requests,Requested By,RequestedBy
Access Requests,Requested By,RequestedByUserId
Access Requests,Requested By,RequestedByDisplayName
Access Requests,Requested For,RequestedFor
Access Requests,Requested For,RequestedForDisplayName
Access Requests,Requested for User Id,RequestedForUserId
Access Requests,Approved By,ApprovedBy
Access Requests,Accepted By,AcceptedBy
Access Requests,Status,Status
Access Requests,Expires,Expires
Access Requests,Permission Type,PermissionType
Access Requests,Permission Level Requested,PermissionLevelRequested
Access Requests,Anonymous Link Type,AnonymousLinkType
Access Requests,Send Welcome Email,SendWelcomeEmail
Access Requests,Welcome Email Subject,WelcomeEmailSubject
Access Requests,Welcome Email Body,WelcomeEmailBody
Access Requests,Extended Welcome Email Body,ExtendedWelcomeEmailBody
Access Requests,Conversation,Conversation
Access Requests,Is Invitation,IsInvitation
Access Requests,Status,StatusDisp
Access Requests,Requested For,RequestedForDisplayNameDisp
Access Requests,Requested By,RequestedByDisplayNameDisp
Access Requests,Requested on,RequestDate
Access Requests,Person,ReqForUser
Access Requests,Modified By,ReqByUser
Access Requests,Approve/Decline,ApprovalAction
Access Requests,PropagateAcl,PropagateAcl
Access Requests,ID,ID
Access Requests,Content Type,ContentType
Access Requests,Modified,Modified
Access Requests,Created,Created
Access Requests,Created By,Author
Access Requests,Modified By,Editor
Access Requests,Has Copy Destinations,_HasCopyDestinations
Access Requests,Copy Source,_CopySource
Access Requests,owshiddenversion,owshiddenversion
Access Requests,Workflow Version,WorkflowVersion
Access Requests,UI Version,_UIVersion
Access Requests,Version,_UIVersionString
Access Requests,Attachments,Attachments
Access Requests,Approval Status,_ModerationStatus
Access Requests,Edit,Edit
Access Requests,Title,LinkTitleNoMenu
Access Requests,Title,LinkTitle
Access Requests,Title,LinkTitle2
Access Requests,Select,SelectTitle
Access Requests,Instance ID,InstanceID
Access Requests,Order,Order
Access Requests,GUID,GUID
Access Requests,Workflow Instance ID,WorkflowInstanceID
Access Requests,URL Path,FileRef
Access Requests,Path,FileDirRef
Access Requests,Modified,Last_x0020_Modified
Access Requests,Created,Created_x0020_Date
Access Requests,Item Type,FSObjType
Access Requests,Sort Type,SortBehavior
Access Requests,Effective Permissions Mask,PermMask
Access Requests,Principal Count,PrincipalCount
Access Requests,Name,FileLeafRef
Access Requests,Unique Id,UniqueId
Access Requests,Client Id,SyncClientId
Access Requests,ProgId,ProgId
Access Requests,ScopeId,ScopeId
Access Requests,HTML File Type,HTML_x0020_File_x0020_Type
Access Requests,Edit Menu Table Start,_EditMenuTableStart
Access Requests,Edit Menu Table Start,_EditMenuTableStart2
Access Requests,Edit Menu Table End,_EditMenuTableEnd
Access Requests,Name,LinkFilenameNoMenu
Access Requests,Name,LinkFilename
Access Requests,Name,LinkFilename2
Access Requests,Type,DocIcon
Access Requests,Server Relative URL,ServerUrl
Access Requests,Encoded Absolute URL,EncodedAbsUrl
Access Requests,File Name,BaseName
Access Requests,Property Bag,MetaInfo
Access Requests,Level,_Level
Access Requests,Is Current Version,_IsCurrentVersion
Access Requests,Item Child Count,ItemChildCount
Access Requests,Folder Child Count,FolderChildCount
Access Requests,Restricted,Restricted
Access Requests,Originator Id,OriginatorId
Access Requests,NoExecute,NoExecute
Access Requests,Content Version,ContentVersion
Access Requests,Label setting,_ComplianceFlags
Access Requests,Retention label,_ComplianceTag
Access Requests,Retention label Applied,_ComplianceTagWrittenTime
Access Requests,Label applied by,_ComplianceTagUserId
Access Requests,Item is a Record,_IsRecord
Access Requests,Access Policy,AccessPolicy
Access Requests,VirusStatus,_VirusStatus
Access Requests,VirusVendorID,_VirusVendorID
Access Requests,VirusInfo,_VirusInfo
Access Requests,App Created By,AppAuthor
Access Requests,App Modified By,AppEditor
Access Requests,Total Size,SMTotalSize
Access Requests,Last Modified Date,SMLastModifiedDate
Access Requests,Total File Stream Size,SMTotalFileStreamSize
Access Requests,Total File Count,SMTotalFileCount
Access Requests,Permission,PermissionDisp
Access Requests,Request for,ObjectRequestedTitleDisp
Action Items,Content Type ID,ContentTypeId
Action Items,Title,Title
Action Items,Approver Comments,_ModerationComments
Action Items,File Type,File_x0020_Type
Action Items,Compliance Asset Id,ComplianceAssetId
Action Items,Description,eaDescription
Action Items,Alternate ID,eaID
Action Items,Assigned Date,eaAssignedDate
Action Items,Date Identified,eaIdentifiedDate
Action Items,Due Date,eaDueDate
Action Items,Criticality,eaCriticality
Action Items,Owner,eaOwner
Action Items,Responsible Party,eaResponsible
Action Items,Supporting Resources,aiSupportResources
Action Items,Status,eaStatus
Action Items,Notes,eaNotes
Action Items,Category,eaTag
Action Items,Project Area,eaProjectArea
Action Items,Pillar,eaPractice
Action Items,Source,eaSource
Action Items,Closed Date,eaClosedDate
Action Items,WF Trigger,eaWFTrigger
Action Items,New Action Item,New_x0020_Action_x0020_Item
Action Items,Action Item Overdue,Action_x0020_Item_x0020_Overdue
Action Items,Closed or Modified Action Item,Closed_x0020_or_x0020_Modified_x
Action Items,Module,eaCohort
Action Items,Enterprise Impact,eaEnterprise
Action Items,Parent / Child Relationship,eaParentChild
Action Items,Resolution Notes,eaResolution
Action Items,Vendor,eaVendor
Action Items,Enterprise Keywords,TaxKeyword
Action Items,TaxKeywordTaxHTField,TaxKeywordTaxHTField
Action Items,Taxonomy Catch All Column,TaxCatchAll
Action Items,ID,ID
Action Items,Content Type,ContentType
Action Items,Modified,Modified
Action Items,Created,Created
Action Items,Created By,Author
Action Items,Modified By,Editor
Action Items,Has Copy Destinations,_HasCopyDestinations
Action Items,Copy Source,_CopySource
Action Items,owshiddenversion,owshiddenversion
Action Items,Workflow Version,WorkflowVersion
Action Items,UI Version,_UIVersion
Action Items,Version,_UIVersionString
Action Items,Attachments,Attachments
Action Items,Approval Status,_ModerationStatus
Action Items,Edit,Edit
Action Items,Title,LinkTitleNoMenu
Action Items,Title,LinkTitle
Action Items,Title,LinkTitle2
Action Items,Select,SelectTitle
Action Items,Instance ID,InstanceID
Action Items,Order,Order
Action Items,GUID,GUID
Action Items,Workflow Instance ID,WorkflowInstanceID
Action Items,URL Path,FileRef
Action Items,Path,FileDirRef
Action Items,Modified,Last_x0020_Modified
Action Items,Created,Created_x0020_Date
Action Items,Item Type,FSObjType
Action Items,Sort Type,SortBehavior
Action Items,Effective Permissions Mask,PermMask
Action Items,Principal Count,PrincipalCount
Action Items,Name,FileLeafRef
